"Info.1","Determination.start","Bromide Concentration","Bromide DL","Bromide STD","Chloride Concentration","Chloride DL","Chloride STD","Fluoride Concentration","Fluoride DL","Fluoride STD","Nitrate Concentration","Nitrate DL","Nitrate STD","Nitrite Concentration","Nitrite DL","Nitrite STD","Phosphate Concentration","Phosphate DL","Phosphate STD","Sulfate Concentration","Sulfate DL","Sulfate STD"
"1","2025-08-07 17:54:35 UTC-6",NA,0.00928558661534523,NA,0.703,0.00600883942089478,0.00175000000000003,0.084,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,0.045,0.00437943668979025,0.000666666666666667,0.594,0.00557790804279323,0.00325
"2","2025-08-07 18:16:03 UTC-6",NA,0.00928558661534523,NA,1.448,0.00600883942089478,0.00175000000000003,0.103,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,0.099,0.00437943668979025,0.000666666666666667,0.344,0.00557790804279323,0.00325
"2B","2025-08-07 18:37:32 UTC-6",NA,0.00928558661534523,NA,1.571,0.00600883942089478,0.00175000000000003,0.111,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,0.11,0.00437943668979025,0.000666666666666667,0.283,0.00557790804279323,0.00325
"3","2025-08-07 18:59:01 UTC-6",NA,0.00928558661534523,NA,0.609,0.00600883942089478,0.00175000000000003,0.096,0.00326668544964679,0.002,0.3,0.00160997253967769,NA,NA,0.0026212977069327,NA,NA,0.00437943668979025,0.000666666666666667,0.192,0.00557790804279323,0.00325
"5","2025-08-07 19:20:31 UTC-6",NA,0.00928558661534523,NA,1.747,0.00600883942089478,0.00175000000000003,0.083,0.00326668544964679,0.002,0.051,0.00160997253967769,NA,NA,0.0026212977069327,NA,0.042,0.00437943668979025,0.000666666666666667,0.389,0.00557790804279323,0.00325
"6","2025-08-07 19:42:00 UTC-6",NA,0.00928558661534523,NA,0.479,0.00600883942089478,0.00175000000000003,0.083,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,0.045,0.00437943668979025,0.000666666666666667,0.287,0.00557790804279323,0.00325
"7","2025-08-07 20:03:30 UTC-6",NA,0.00928558661534523,NA,0.895,0.00600883942089478,0.00175000000000003,0.107,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,0.044,0.00437943668979025,0.000666666666666667,0.62,0.00557790804279323,0.00325
"8","2025-08-07 20:25:00 UTC-6",NA,0.00928558661534523,NA,0.378,0.00600883942089478,0.00175000000000003,0.056,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,NA,0.00437943668979025,0.000666666666666667,0.24,0.00557790804279323,0.00325
"8","2025-08-07 20:46:31 UTC-6",NA,0.00928558661534523,NA,0.379,0.00600883942089478,0.00175000000000003,0.057,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,NA,0.00437943668979025,0.000666666666666667,0.244,0.00557790804279323,0.00325
"9","2025-08-07 21:08:01 UTC-6",NA,0.00928558661534523,NA,0.867,0.00600883942089478,0.00175000000000003,0.096,0.00326668544964679,0.002,0.059,0.00160997253967769,NA,NA,0.0026212977069327,NA,0.044,0.00437943668979025,0.000666666666666667,0.741,0.00557790804279323,0.00325
"11","2025-08-07 21:51:00 UTC-6",NA,0.00928558661534523,NA,1.155,0.00600883942089478,0.00175000000000003,0.095,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,0.044,0.00437943668979025,0.000666666666666667,0.205,0.00557790804279323,0.00325
"12","2025-08-07 22:12:31 UTC-6",NA,0.00928558661534523,NA,0.396,0.00600883942089478,0.00175000000000003,0.066,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,NA,0.00437943668979025,0.000666666666666667,0.26,0.00557790804279323,0.00325
"13","2025-08-07 22:34:02 UTC-6",NA,0.00928558661534523,NA,0.529,0.00600883942089478,0.00175000000000003,0.081,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,NA,0.00437943668979025,0.000666666666666667,0.393,0.00557790804279323,0.00325
"14","2025-08-07 22:55:34 UTC-6",NA,0.00928558661534523,NA,0.425,0.00600883942089478,0.00175000000000003,0.074,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,NA,0.00437943668979025,0.000666666666666667,0.255,0.00557790804279323,0.00325
"15","2025-08-07 23:17:06 UTC-6",NA,0.00928558661534523,NA,0.632,0.00600883942089478,0.00175000000000003,0.103,0.00326668544964679,0.002,0.131,0.00160997253967769,NA,NA,0.0026212977069327,NA,0.12,0.00437943668979025,0.000666666666666667,0.579,0.00557790804279323,0.00325
"16","2025-08-07 23:38:38 UTC-6",NA,0.00928558661534523,NA,0.471,0.00600883942089478,0.00175000000000003,0.07,0.00326668544964679,0.002,0.123,0.00160997253967769,NA,NA,0.0026212977069327,NA,0.059,0.00437943668979025,0.000666666666666667,0.42,0.00557790804279323,0.00325
"17","2025-08-08 00:00:11 UTC-6",NA,0.00928558661534523,NA,0.485,0.00600883942089478,0.00175000000000003,0.084,0.00326668544964679,0.002,0.088,0.00160997253967769,NA,NA,0.0026212977069327,NA,0.04,0.00437943668979025,0.000666666666666667,0.516,0.00557790804279323,0.00325
"19","2025-08-08 00:21:44 UTC-6",NA,0.00928558661534523,NA,0.518,0.00600883942089478,0.00175000000000003,0.122,0.00326668544964679,0.002,0.041,0.00160997253967769,NA,NA,0.0026212977069327,NA,0.065,0.00437943668979025,0.000666666666666667,0.41,0.00557790804279323,0.00325
"20","2025-08-08 00:43:17 UTC-6",NA,0.00928558661534523,NA,0.584,0.00600883942089478,0.00175000000000003,0.067,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,0.038,0.00437943668979025,0.000666666666666667,0.292,0.00557790804279323,0.00325
"20","2025-08-08 01:04:51 UTC-6",NA,0.00928558661534523,NA,0.586,0.00600883942089478,0.00175000000000003,0.069,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,0.038,0.00437943668979025,0.000666666666666667,0.293,0.00557790804279323,0.00325
"21","2025-08-08 01:26:24 UTC-6",NA,0.00928558661534523,NA,0.449,0.00600883942089478,0.00175000000000003,0.073,0.00326668544964679,0.002,0.021,0.00160997253967769,NA,NA,0.0026212977069327,NA,NA,0.00437943668979025,0.000666666666666667,0.327,0.00557790804279323,0.00325
"22","2025-08-08 02:09:27 UTC-6",NA,0.00928558661534523,NA,0.553,0.00600883942089478,0.00175000000000003,0.071,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,NA,0.00437943668979025,0.000666666666666667,0.233,0.00557790804279323,0.00325
"23","2025-08-08 02:31:01 UTC-6",NA,0.00928558661534523,NA,0.661,0.00600883942089478,0.00175000000000003,0.059,0.00326668544964679,0.002,NA,0.00160997253967769,NA,NA,0.0026212977069327,NA,NA,0.00437943668979025,0.000666666666666667,0.352,0.00557790804279323,0.00325
